fecha_venta,año,mes,trimestre,dia_semana,dia_mes,categoria_principal,subcategoria,precio_unitario,cantidad,descuento_porcentaje,precio_con_descuento,ventas_brutas,costo_producto,ganancia_neta,margen_ganancia,region,ciudad,canal_venta,segmento_cliente,metodo_pago,cliente_nuevo,edad_cliente,satisfaccion_cliente,tiempo_entrega_dias,rating_producto,numero_reviews,visitas_web_previas,productos_en_carrito,tiempo_sesion_minutos,clicks_anuncios,veces_visitado_producto,transaction_id
2023-01-31,2023,1,1,2,31,Deportes,Outdoor,494.36,2,15.35,418.46,836.92,494.36,342.56,40.93,Centro,San Luis Potosí,Tienda Física,Estudiante,Transferencia,True,24.0,3.7,3.6,4.2,5,15,3,71.3,2,3,TXN000001
2023-12-22,2023,12,4,5,22,Salud y Belleza,Suplementos,175.97,4,5.44,166.41,665.62,211.17,454.46,68.28,Noroeste,Torreón,Catálogo,Regular,Tarjeta Crédito,True,56.0,3.6,7.0,4.6,7,17,3,3.1,3,4,TXN000002
2022-08-18,2022,8,3,4,18,Hogar y Jardín,Limpieza,218.54,1,28.54,156.18,156.18,131.12,25.05,16.04,Sureste,Puebla,Catálogo,Estudiante,PayPal,False,18.0,5.0,2.6,4.6,7,10,4,10.9,1,4,TXN000003
2021-10-25,2021,10,4,1,25,Automóviles,Neumáticos,1306.43,6,2.74,1270.61,7623.64,5095.09,2528.55,33.17,Norte,León,Telefónico,VIP,PayPal,False,35.0,5.0,2.1,3.9,12,11,3,70.6,3,5,TXN000004
2020-05-23,2020,5,2,6,23,Ropa y Accesorios,Hombre,730.01,4,42.36,420.8,1683.2,1168.02,515.18,30.61,Centro,Monterrey,Online,Estudiante,Tarjeta Crédito,False,61.0,5.0,1.4,3.5,3,13,5,7.2,4,5,TXN000005
2022-03-26,2022,3,1,6,26,Hogar y Jardín,Jardín,516.44,5,14.18,443.21,2216.06,1549.31,666.76,30.09,Noroeste,San Luis Potosí,Online,Regular,PayPal,True,31.0,2.8,1.8,3.7,15,19,6,21.6,0,4,TXN000006
2023-09-27,2023,9,3,3,27,Electrónicos,Cámaras,1404.83,4,54.33,641.59,2566.37,3933.52,-1367.16,-53.27,Noreste,San Luis Potosí,Tienda Física,Regular,Efectivo,False,18.0,4.6,5.0,3.9,4,21,2,5.0,4,2,TXN000007
2020-06-02,2020,6,2,2,2,Juguetes,Muñecas,241.25,3,29.29,170.59,511.78,325.69,186.09,36.36,Noroeste,Puebla,Tienda Física,Regular,Tarjeta Crédito,False,18.0,5.0,1.9,4.4,11,13,5,10.4,1,4,TXN000008
2021-12-29,2021,12,4,3,29,Salud y Belleza,Cuidado Personal,475.68,5,38.96,290.37,1451.85,713.52,738.33,50.85,Noreste,León,Online,Estudiante,PayPal,True,28.0,4.9,5.4,4.8,8,8,6,66.8,2,9,TXN000009
2023-04-06,2023,4,2,4,6,Ropa y Accesorios,Hombre,999.08,3,57.07,428.93,1286.78,1198.89,87.89,6.83,Sur,San Luis Potosí,Marketplace,VIP,Transferencia,False,28.0,4.7,4.8,4.6,10,13,5,4.5,1,7,TXN000010
2020-12-23,2020,12,4,3,23,Deportes,Natación,491.77,3,13.65,424.63,1273.9,737.66,536.24,42.09,Oeste,León,Telefónico,Regular,PayPal,False,22.0,3.5,3.5,4.0,6,13,4,87.6,4,2,TXN000011
2021-12-09,2021,12,4,4,9,Automóviles,Limpieza,1004.07,5,27.89,724.0,3620.02,3263.22,356.8,9.86,Noreste,Guadalajara,Tienda Física,VIP,Tarjeta Crédito,False,49.0,3.6,4.4,5.4,7,10,4,58.6,3,6,TXN000012
2022-09-10,2022,9,3,6,10,Salud y Belleza,Maquillaje,767.26,3,42.17,443.7,1331.11,690.53,640.58,48.12,Este,San Luis Potosí,Catálogo,Nuevo,PayPal,False,95.0,3.3,5.5,4.8,6,21,3,16.4,2,2,TXN000013
2022-03-14,2022,3,1,1,14,Electrónicos,Smartphones,1430.53,6,32.79,961.44,5768.63,6008.21,-239.58,-4.15,Oeste,Querétaro,Online,Premium,Tarjeta Débito,False,18.0,3.4,1.5,3.3,11,21,3,67.8,0,3,TXN000014
2023-10-05,2023,10,4,4,5,Hogar y Jardín,Muebles,584.4,4,23.02,449.87,1799.5,1402.56,396.94,22.06,Este,León,Online,Regular,Transferencia,False,18.0,3.6,1.5,,7,15,2,3.6,0,5,TXN000015
